vintage_id,wine_id,types
26879557,1821619,Red wine
5047574,1183738,Red wine
135613500,4298429,Red wine
152087339,2137289,Red wine
28840347,779048,Red wine
1258238,1176940,Red wine
15384268,1101112,Red wine
1303379,43154,Red wine
20194468,83730,Red wine
2522475,1479442,Red wine
30287782,1665170,White wine
14211838,1814511,Red wine
14764594,1757076,Red wine
20335299,2337653,White wine
15741303,77462,Red wine
7987330,1693678,Red wine
33549025,1708138,Red wine
21149405,2014,Red wine
14714616,3961,Red wine
4384204,1163173,Red wine
1208870,1161267,Red wine
26444201,1246167,Red wine
26000583,1751367,Red wine
14139537,1209471,Red wine
155801761,1982964,Red wine
3203173,1877188,Red wine
1401587,1108737,Red wine
17687158,7783,Red wine
106692323,1725316,Red wine
3205905,1206528,Red wine
24050678,3409824,Red wine
22678037,1159867,Red wine
14171453,80276,Red wine
4511069,1100254,Red wine
40196008,3431390,Red wine
157219397,6365053,Red wine
132028110,4275592,Red wine
6129505,4827539,Red wine
15948223,1271639,Red wine
2189167,1197021,Red wine
33739560,1153881,Red wine
22560913,1225536,Red wine
20746361,3286550,Red wine
1150930,87506,Red wine
18075074,1742109,Red wine
23166921,778938,Red wine
5344785,1262581,Red wine
24599834,1272950,White wine
19942677,2165446,Red wine
21065554,1206918,Red wine
16061731,1258079,Red wine
154783003,5727668,Red wine
2520027,1149558,Red wine
28948300,1711325,Red wine
1330451,1220803,White wine
150548952,1105384,Red wine
14209265,9062,White wine
56519729,1432372,Red wine
26712051,2791917,White wine
22633930,1803078,Red wine
155223141,5876411,Red wine
1736681,1362024,Red wine
14459247,1134564,Red wine
14995217,1194162,Red wine
15106175,1124816,Red wine
4271473,1197245,Red wine
1993938,1235058,Red wine
19186698,9056,Red wine
2480207,1604635,Red wine
16955922,1266561,Red wine
19675898,85354,Red wine
143044626,2518693,Red wine
75334930,1201693,Red wine
17049135,1208041,Red wine
14245513,77136,Red wine
4515075,1137812,Red wine
15274149,1132804,Red wine
92048370,10944,Red wine
14229411,1142705,Red wine
18241460,1787864,Red wine
19438555,1171810,Red wine
16733755,1264622,Red wine
15538527,4621,Red wine
12919926,1107919,Red wine
16907555,4122,Red wine
1489971,89399,Red wine
164943267,5140412,Sparkling wine
143398675,2384703,Red wine
15312867,2530,White wine
17988555,77460,Red wine
22401199,50984,Red wine
15017645,1389996,Red wine
42108497,3824267,Red wine
23069157,1626206,Red wine
14707760,1504403,Red wine
19211752,1145360,Red wine
14530592,76432,Red wine
18152855,1100250,Red wine
27450437,1199531,Red wine
14399955,1389505,Red wine
23311888,1473386,Red wine
2373231,7778,Red wine
35517360,1370701,Red wine
18511756,1186704,Red wine
2956936,1409995,Red wine
19155732,1849875,Red wine
23074150,3194073,Rosé wine
1301029,89373,Red wine
23576556,1168203,Red wine
14359144,1142756,Red wine
14624010,74569,Red wine
5171775,1368542,Red wine
12390520,1153457,Red wine
146399141,4713317,Red wine
14461538,1784308,Red wine
18319732,1510255,Red wine
1740597,1126125,Red wine
19764149,1216549,Red wine
151356527,1376506,Red wine
